Time,GPU 0 (PID 2043939) - User: xxxx,GPU 0 (PID 2044415) - User: xxxx,GPU 0 (PID 2049804) - User: xxxx,GPU 1 (PID 2288233) - User: xu,GPU 2 (PID 2881484) - User: xy,GPU 3 (PID 2057800) - User: xxxx,GPU 3 (PID 2144539) - User: xxxx,GPU 1 (PID 1234) - User: new_user
2023-12-28 17:15,7184,7184,7184,14272,22078,7184,7184,
2023-12-28 17:15,7184,7184,7184,14272,22078,7184,7184,
2023-12-28 17:15,7184,7184,7184,14272,22078,7184,7184,
2023-12-28 17:15,7184,7184,7184,14272,22078,7184,7184,
2023-12-28 17:15,7184,7184,7184,14272,22078,7184,7184,
2023-12-28 17:15,7184,7184,7184,14272,22078,7184,7184,512
2023-12-28 17:15,7184,7184,7184,14272,22078,7184,7184,
2023-12-28 17:15,7184,7184,7184,14272,22078,7184,7184,
2023-12-28 17:15,7184,7184,7184,14272,22078,7184,7184,
2023-12-28 17:15,7184,7184,7184,14272,22078,7184,7184,
